Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_roll,Angle_pitch,Angle_yaw,Mag_X,Mag_Y,Mag_Z,Heading
0.104,0.032,0.976,0.35,0.08,5.62,0.62,-5.97,-15.04,43.54,-43.31,-35.29,44.84826714
0.099,0.025,1.003,0.09,0.35,5.45,0.62,-5.94,-14.49,43.54,-43.31,-35.29,44.84826714
0.097,0.031,1.001,0.1,-0.14,5.62,0.63,-5.93,-13.93,45.15,-45.6,-36.47,45.28410897
0.103,0.03,0.989,0.41,0.14,5.83,0.63,-5.91,-13.36,41.31,-42.73,-36.67,45.96801839
0.097,0.034,0.973,-0.09,0.24,6.09,0.63,-5.91,-12.78,41.31,-42.73,-36.67,45.96801839
0.101,0.032,0.967,-0.04,0.17,6.06,0.61,-5.9,-12.2,41.31,-42.73,-36.67,45.96801839
0.105,0.059,0.993,0.45,0.15,6.31,0.58,-5.89,-11.61,41.31,-42.73,-36.67,45.96801839
0.128,0.008,1.024,-0.82,0.02,6.13,0.53,-5.89,-11.02,43.33,-45.03,-37.06,46.10220473
0.08,0.006,0.957,-0.03,-1.13,5.78,0.48,-5.89,-10.43,43.94,-45.22,-36.86,45.82249394
0.097,0.028,1.026,-0.09,-0.47,6.19,0.42,-5.89,-9.84,41.92,-45.22,-36.08,47.16876019
0.092,0.022,1.013,0.39,-0.28,6.11,0.41,-5.9,-9.24,41.92,-45.22,-36.08,47.16876019
0.114,0.017,1.005,0.99,-0.34,6.21,0.39,-5.93,-8.63,45.15,-44.84,-37.25,44.80262672
0.121,0.036,1.036,0.21,0.3,6.31,0.38,-5.96,-8.02,43.94,-45.6,-37.25,46.06209627
0.102,0.029,0.931,0.45,-0.24,6.12,0.37,-5.97,-7.41,43.54,-46.37,-36.47,46.80284217
0.095,0.024,0.938,0,-0.02,6.17,0.38,-5.98,-6.8,42.93,-46.94,-36.27,47.55484345
0.107,0.026,0.993,0.36,-0.18,6.19,0.41,-5.98,-6.21,42.93,-46.94,-36.27,47.55484345
0.102,0.017,1.007,0.76,0.19,6.09,0.46,-5.97,-5.61,43.74,-48.09,-37.06,47.71208176
0.108,0.031,0.994,0.67,0.66,5.75,0.5,-5.95,-5.02,43.74,-48.09,-37.06,47.71208176
0.11,0.045,1.014,0.78,0.21,5.78,0.52,-5.92,-4.43,44.55,-47.71,-38.24,46.96167258
0.113,0.031,1.027,0.9,0.8,6.11,0.52,-5.87,-3.83,44.55,-47.71,-38.24,46.96167258
0.104,0.037,0.99,0.61,0.75,6.03,0.55,-5.82,-3.25,44.55,-47.71,-38.24,46.96167258
0.112,0.031,0.993,0.14,0.33,6.23,0.6,-5.79,-2.67,42.73,-49.04,-36.47,48.93340116
0.098,0.03,1.001,0.07,0.2,5.99,0.62,-5.8,-2.09,42.73,-49.04,-36.47,48.93340116
0.089,0.034,0.997,-0.42,-0.65,5.76,0.6,-5.83,-1.51,43.33,-50,-35.1,49.08779816
0.114,0.03,0.97,-0.3,-0.43,5.74,0.57,-5.89,-0.94,44.55,-48.85,-36.27,47.63595297
0.098,0.028,0.968,-0.05,-0.95,5.65,0.5,-5.97,-0.38,44.55,-48.85,-36.27,47.63595297
0.097,0.028,0.949,-0.6,-1.15,5.44,0.43,-6.06,0.18,42.93,-50.76,-35.1,49.77730632
0.099,0.028,0.967,-0.58,-0.91,5.45,0.35,-6.14,0.72,46.16,-51.53,-36.27,48.14637112
0.109,0.026,0.987,-0.56,-0.53,5.42,0.28,-6.21,1.25,44.95,-50.76,-36.67,48.47383223
0.101,0.016,0.98,-0.09,-0.18,5.02,0.24,-6.24,1.76,44.95,-50.76,-36.67,48.47383223
0.113,0.012,0.977,-0.16,0.06,5.03,0.19,-6.25,2.25,43.74,-50.76,-36.67,49.24845453
0.103,0.024,1.018,-0.11,0.51,4.71,0.16,-6.22,2.74,45.96,-52.49,-35.69,48.79476096
0.099,0.022,1.008,-0.11,0.54,5.04,0.14,-6.17,3.22,44.14,-50.76,-36.67,48.99035419
0.11,0.022,0.986,-0.11,0.41,4.74,0.13,-6.1,3.7,45.76,-49.62,-35.49,47.31747838
0.117,0.022,1.007,0.36,1.1,4.85,0.18,-6.04,4.17,45.76,-49.62,-35.49,47.31747838
0.106,0.025,1.015,0.55,0.94,4.88,0.21,-5.98,4.65,44.55,-53.06,-37.06,49.98265859
0.094,0.026,0.992,0.99,0.21,4.85,0.24,-5.94,5.13,44.55,-53.06,-37.06,49.98265859
0.11,0.03,0.976,0.23,0.08,4.71,0.29,-5.92,5.61,44.34,-53.63,-36.47,50.41687221
0.121,0.037,0.973,0.33,0.19,4.96,0.35,-5.93,6.09,45.15,-54.02,-34.51,50.11106995
0.105,0.033,0.969,0.4,-0.9,4.9,0.4,-5.96,6.56,45.15,-54.02,-34.51,50.11106995
0.113,0.036,0.984,0.45,-0.45,4.56,0.43,-5.99,7.03,45.56,-53.63,-36.47,49.65128311
0.115,0.042,1.031,0.4,-0.03,4.77,0.48,-6.02,7.48,43.74,-54.21,-35.88,51.10125196
